# LHS sample of 100 points 
#  num delta* epsilon_SN epsilon_SF
0.0000 76.5351 0.3095 0.0011
1.0000 133.0465 0.2878 0.0170
2.0000 484.3392 0.1403 0.0065
3.0000 192.0712 0.5276 0.0017
4.0000 142.8159 0.9536 0.0131
5.0000 296.6337 0.6547 0.0244
6.0000 50.9509 0.2097 0.0015
7.0000 37.8051 0.7913 0.0023
8.0000 262.6844 0.9444 0.0106
9.0000 58.9711 0.0944 0.0019
10.0000 81.5105 0.8550 0.0104
11.0000 276.3454 0.1087 0.0048
12.0000 20.7390 0.2354 0.0025
13.0000 387.9268 0.4134 0.0046
14.0000 300.7730 0.5012 0.0142
15.0000 230.0239 0.8653 0.0018
16.0000 159.1748 0.1265 0.0125
17.0000 139.2626 0.9619 0.0264
18.0000 66.5902 0.4769 0.0025
19.0000 198.4858 0.8934 0.0027
20.0000 22.4939 0.7107 0.0015
21.0000 108.6791 0.8710 0.0054
22.0000 357.0285 0.5513 0.0013
23.0000 432.8386 0.8428 0.0048
24.0000 64.2301 0.0700 0.0287
25.0000 182.8386 0.9239 0.0018
26.0000 36.0262 0.9176 0.0032
27.0000 220.2624 0.8079 0.0248
28.0000 29.6225 0.2200 0.0038
29.0000 20.2696 0.2576 0.0069
30.0000 44.3976 0.7651 0.0159
31.0000 61.0150 0.8806 0.0035
32.0000 72.4445 0.8391 0.0074
33.0000 57.8483 0.9330 0.0024
34.0000 121.5957 0.3588 0.0206
35.0000 38.5579 0.4965 0.0032
36.0000 322.8593 0.3302 0.0051
37.0000 246.7143 0.6264 0.0115
38.0000 244.4402 0.4420 0.0111
39.0000 475.9575 0.3663 0.0021
40.0000 285.3669 0.6966 0.0012
41.0000 465.7585 0.2631 0.0231
42.0000 50.5609 0.1112 0.0165
43.0000 96.3716 0.5164 0.0071
44.0000 93.6134 0.9864 0.0120
45.0000 89.2576 0.6015 0.0022
46.0000 61.9193 0.3773 0.0083
47.0000 167.8769 0.4212 0.0183
48.0000 101.6885 0.8164 0.0029
49.0000 40.1444 0.0188 0.0138
50.0000 26.7552 0.4831 0.0086
51.0000 46.1193 0.1551 0.0022
52.0000 165.8489 0.5490 0.0154
53.0000 53.3685 0.7479 0.0150
54.0000 21.9268 0.6450 0.0096
55.0000 317.8449 0.7587 0.0058
56.0000 55.9641 0.3907 0.0014
57.0000 97.2880 0.4035 0.0011
58.0000 31.6411 0.1620 0.0213
59.0000 205.5034 0.2498 0.0013
60.0000 411.0175 0.3121 0.0273
61.0000 184.3886 0.1302 0.0011
62.0000 152.6253 0.2710 0.0012
63.0000 377.9559 0.6173 0.0089
64.0000 448.9235 0.3219 0.0226
65.0000 33.7788 0.5809 0.0034
66.0000 25.8042 0.3462 0.0176
67.0000 46.7024 0.4303 0.0028
68.0000 116.4980 0.1935 0.0064
69.0000 41.9338 0.0571 0.0012
70.0000 112.2244 0.9002 0.0135
71.0000 344.6030 0.4641 0.0258
72.0000 119.5644 0.0803 0.0094
73.0000 84.8251 0.2264 0.0041
74.0000 150.7090 0.6668 0.0193
75.0000 28.4140 0.3825 0.0010
76.0000 212.7364 0.0250 0.0056
77.0000 24.2606 0.9737 0.0060
78.0000 34.8581 0.1786 0.0081
79.0000 337.1689 0.6797 0.0118
80.0000 106.1358 0.7045 0.0040
81.0000 238.2301 0.7842 0.0016
82.0000 258.6771 0.1900 0.0078
83.0000 87.2129 0.4553 0.0034
84.0000 48.0388 0.0090 0.0038
85.0000 136.9909 0.5676 0.0014
86.0000 128.8498 0.7357 0.0019
87.0000 41.5125 0.7764 0.0099
88.0000 77.7303 0.8280 0.0052
89.0000 26.2698 0.6870 0.0219
90.0000 24.5857 0.2909 0.0075
91.0000 366.0450 0.9998 0.0062
92.0000 29.4202 0.5930 0.0030
93.0000 32.4863 0.0400 0.0294
94.0000 414.2196 0.5752 0.0017
95.0000 22.9706 0.6390 0.0020
96.0000 72.6389 0.5345 0.0043
97.0000 31.2617 0.0346 0.0196
98.0000 69.1292 0.0723 0.0043
99.0000 173.3305 0.7233 0.0027
