# LHS sample of 300 points 
#  num overdensity_cond feedback_eff efficiency mass_res fesc
0.0000 86.7106 0.0239 0.0019 3334.5584 0.2705
1.0000 58.1043 0.1692 0.0018 11711.0214 0.9189
2.0000 103.2976 0.0366 0.0015 29909.4544 0.2140
3.0000 36.1508 0.1350 0.0169 22465.4320 0.2869
4.0000 25.6086 0.0094 0.0084 17463.4504 0.2087
5.0000 32.8421 0.0167 0.0048 5319.0319 0.0286
6.0000 30.1243 0.0423 0.0041 19277.3872 0.9926
7.0000 134.2827 0.0828 0.0271 8357.3204 0.0324
8.0000 151.6877 0.4750 0.0031 1988.0810 0.4026
9.0000 33.9594 0.0792 0.0020 19357.6833 0.1160
10.0000 62.1824 0.0175 0.0010 13535.4409 0.3786
11.0000 304.3126 0.2899 0.0015 80287.5060 0.5843
12.0000 54.1490 0.0709 0.0061 19762.5331 0.7974
13.0000 76.8472 0.0139 0.0020 8593.3094 0.1819
14.0000 96.6136 0.1501 0.0063 9837.0794 0.8581
15.0000 331.7181 0.0104 0.0013 9637.1664 0.4654
16.0000 186.7081 0.0222 0.0156 6262.7896 0.3510
17.0000 101.2750 0.0087 0.0017 33142.3221 0.4393
18.0000 34.5552 0.4037 0.0013 1093.5964 0.2343
19.0000 257.0297 0.0083 0.0012 27979.3846 0.3038
20.0000 33.7154 0.2387 0.0030 52891.0995 0.6484
21.0000 496.1871 0.1523 0.0032 32505.6148 0.8052
22.0000 22.8423 0.1766 0.0016 7526.6533 0.2381
23.0000 244.8777 0.0129 0.0118 1778.3030 0.8347
24.0000 48.8613 0.2485 0.0066 1484.6703 0.5047
25.0000 65.4682 0.0061 0.0013 1945.6101 0.6820
26.0000 27.1329 0.0201 0.0031 6053.2714 0.4119
27.0000 30.6307 0.0051 0.0123 29257.0308 0.5771
28.0000 72.9879 0.0351 0.0041 10571.3134 0.7945
29.0000 435.2918 0.4225 0.0107 2496.0894 0.3976
30.0000 157.6501 0.0765 0.0058 16049.9653 0.7369
31.0000 360.9953 0.1236 0.0284 7155.4055 0.1089
32.0000 40.6299 0.0107 0.0268 16802.2357 0.1839
33.0000 352.0267 0.2109 0.0065 77141.8026 0.1785
34.0000 23.5206 0.0156 0.0015 24873.3061 0.9279
35.0000 141.9582 0.0226 0.0065 23110.9114 0.6108
36.0000 25.4661 0.1750 0.0078 41644.6829 0.8522
37.0000 44.4798 0.0901 0.0074 11086.5795 0.9230
38.0000 185.9242 0.0102 0.0026 20032.0560 0.2794
